Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Obesity,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Obesity,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
Obesity,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Obesity,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Obesity,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Obesity,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Obesity,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Obesity,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Obesity,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Obesity,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
hypertensive disease,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
hypertensive disease,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
hypertensive disease,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
hypertensive disease,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
hypertensive disease,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
hypertensive disease,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
hypertensive disease,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
hypertensive disease,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
hypertensive disease,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
hypertensive disease,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
Diabetes,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Diabetes,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
Diabetes,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,2.65,treating diabetes,Allergic skin reaction,normal,1
Diabetes,wheezing and cough,Etofylline,ACEBROFACT Capsule and 100mg,150,swelling and narrowing,Upset stomach,normal,1
Diabetes,fever and vomiting,ondansetron,Satron Plus Susp Suspension 2mg and 5ml,81,Headache and dizziness.,Central Nervous System,bad,0
Diabetes,feeling suicidal and feeling hopeless,Amoxapine,Tryline Forte Tablet and 10mg/25mg and 10 Tablets,96,prescribed for anxiety and panic disorders.,heart block,bad,0
Diabetes,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran - 250 Capsule and Tablet and 0.25mg 11,9,prescribed for congestive heart faliure,stomach pain,normal,1
Diabetes,pain and vomiting and out of breath and pain chest,Magnesium Hydroxide,Aludrox (840 mg) Tablet and 840mg and 50 Tablets,12,heartburn relief,muscle weakness,normal,1
Diabetes,Ampicillin and Sulbactam,Darbeponetin alfa,Penglobe (400 mg) Tablet and 400mg and 6 Tablets,417,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Diabetes,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,45,chronic kidney disease,difficulty in breathing,bad,0
Asthma,pain and catatonia and snore and pain chest,Gemfibrozil,Lescol XL Tablet and 80mg and 14 Tablets.,25,prescribed for high cholesterol and triglycerides,Weakness,normal,1
Asthma,pain chest and shortness of breath,Acetazolamide,Synomax Capsule Tablet and 250mg and10,408.5,To treat high blood pressure,kidney problems,bad,0
